timestamp,cpu_percent,ram_mb
1737381011,223.00,402.61
1737381012,100.00,788.32
1737381013,16.00,818.81
1737381014,0.00,818.81
1737381015,108.00,920.49
1737381016,359.00,938.86
1737381017,361.00,944.61
1737381018,365.00,951.61
1737381019,328.00,960.36
1737381020,353.00,972.66
1737381021,361.00,978.41
1737381022,317.00,993.35
1737381023,368.00,1057.69
1737381024,369.00,1055.32
1737381025,362.00,1065.74
1737381026,360.00,1065.74
1737381027,316.00,1061.23
1737381028,361.00,1061.23
1737381029,360.00,1061.23
1737381030,340.00,1064.36
1737381031,370.00,1086.08
1737381032,360.00,1047.61
1737381033,354.00,1047.61
1737381034,357.00,1047.61
1737381035,305.00,1061.31
1737381036,342.00,1057.16
1737381037,341.00,1062.23
1737381038,382.00,1057.76
1737381039,364.00,1057.76
1737381040,360.00,1057.76
1737381041,363.00,1057.76
1737381042,309.00,1056.12
1737381043,340.00,1058.24
1737381044,340.00,1070.13
1737381045,379.00,1059.14
1737381046,361.00,1059.14
1737381047,342.00,1059.32
1737381048,341.00,1077.25
1737381049,362.00,1062.82
1737381050,356.00,1042.11
1737381051,353.00,1042.11
1737381052,328.00,1042.11
1737381053,359.00,1042.11
1737381054,356.00,1048.11
1737381055,355.00,1048.11
1737381056,339.00,1071.11
1737381057,350.00,1100.99
1737381058,362.00,1071.12
1737381059,317.00,1071.12
1737381060,349.00,1071.12
1737381061,356.00,1071.12
1737381062,359.00,1071.12
1737381063,361.00,1071.12
1737381064,337.00,1069.72
1737381065,360.00,1068.16
1737381066,361.00,1048.08
1737381067,363.00,1055.21
1737381068,315.00,1057.83
1737381069,344.00,1059.18
1737381070,338.00,1054.25
1737381071,359.00,1060.27
1737381072,357.00,1097.14
1737381073,349.00,1056.27
1737381074,353.00,1056.27
1737381075,350.00,1056.27
1737381076,327.00,1056.27
1737381077,354.00,1056.27
1737381078,340.00,1065.91
1737381079,354.00,1085.77
1737381080,371.00,1053.77
1737381081,349.00,1051.65
